i,score
0,0.974821150302887
1,0.8056321740150452
2,0.9905142784118652
3,0.9394705891609192
4,0.9681411385536194
5,0.907967209815979
6,0.9693241715431213
7,0.8056321740150452
8,0.9824230670928955
9,0.7879312038421631
10,0.9713473320007324
11,0.6791787147521973
12,0.9643214344978333
13,0.8740772008895874
14,0.9453993439674377
15,0.581303060054779
16,0.9678993225097656
17,0.8783142566680908
18,0.9775429368019104
19,0.3486451506614685
20,0.9955315589904785
21,0.8289388418197632
22,0.9973477125167847
23,0.9099069833755493
24,0.9937587976455688
25,0.9795114994049072
26,0.9912885427474976
27,0.8688268065452576
28,0.9859364032745361
29,0.9732407331466675
30,0.9912885427474976
31,0.3923368453979492
32,0.9933589100837708
33,0.9719924926757812
34,0.9944451451301575
35,0.9536217451095581
36,0.9785493016242981
37,0.8633915781974792
38,0.9898303151130676
39,0.9635062217712402
40,0.9936610460281372
41,0.7905303239822388
42,0.9465966820716858
43,0.9367494583129883
44,0.9416541457176208
45,0.531209409236908
46,0.9161096215248108
47,0.596433162689209
48,0.929440438747406
49,0.6548947095870972
50,0.9621075391769409
51,0.7606506943702698
52,0.9783847332000732
53,0.9105454087257385
54,0.9529258608818054
55,0.8955226540565491
56,0.9651191234588623
57,0.6548947095870972
58,0.9648551344871521
59,0.7279754281044006
60,0.8976953029632568
61,0.8438951373100281
62,0.9865716695785522
63,0.42250463366508484
64,0.9600626826286316
65,0.8056321740150452
66,0.9752018451690674
67,0.8354835510253906
68,0.9664104580879211
69,0.9674102663993835
70,0.9700134992599487
71,0.8688268065452576
72,0.9833430051803589
73,0.954308032989502
74,0.9549844264984131
75,0.7279754281044006
76,0.9875683188438416
77,0.8918110132217407
78,0.9902915358543396
79,0.29421496391296387
80,0.8558511734008789
81,0.8539127111434937
82,0.987375020980835
83,0.5888891220092773
84,0.9835969805717468
85,0.9805806875228882
86,0.9921841025352478
87,0.973036527633667
88,0.9884918928146362
89,0.8221890926361084
90,0.9588471055030823
91,0.9817357659339905
92,0.9755768775939941
93,0.8774768114089966
94,0.9532750844955444
95,0.7217432260513306
96,0.9833430051803589
97,0.45713675022125244
98,0.9853842854499817
99,0.8791467547416687
100,0.9928786158561707
101,0.7371581792831421
102,0.9871788024902344
103,0.9865716695785522
104,0.9032942056655884
105,0.7772998809814453
106,0.9876639246940613
107,0.9553191661834717
108,0.9874721169471741
109,0.562176525592804
110,0.8643104434013367
111,0.5428633093833923
112,0.9936116337776184
113,0.8856314420700073
114,0.9877586960792542
115,0.5698526501655579
116,0.8688268065452576
117,0.39981165528297424
118,0.8840392827987671
119,0.8499711751937866
120,0.9656413197517395
121,0.7490872144699097
122,0.9868786931037903
123,0.9671630263328552
124,0.9753900170326233
125,0.42250463366508484
126,0.9839708209037781
127,0.6513549089431763
128,0.9918753504753113
129,0.9314625263214111
130,0.9711290597915649
131,0.740174412727356
132,0.9788748621940613
133,0.23651622235774994
134,0.9462003111839294
135,0.8056321740150452
136,0.9955315589904785
137,0.9339146018028259
138,0.9783847332000732
139,0.8824278712272644
140,0.9955315589904785
141,0.8688268065452576
142,0.9939963817596436
143,0.9504110217094421
144,0.9722043871879578
145,0.596433162689209
146,0.9930423498153687
147,0.9629528522491455
148,0.9683812260627747
149,0.9820137619972229
150,0.9957352876663208
151,0.9867772459983826
152,0.9943140745162964
153,0.7310585379600525
154,0.9903663396835327
155,0.8840392827987671
156,0.9958011507987976
157,0.977022647857666
158,0.977022647857666
159,0.9032942056655884
160,0.991355836391449
161,0.7549149990081787
162,0.9449946880340576
163,0.49609383940696716
164,0.9865716695785522
165,0.9759464263916016
166,0.9569571614265442
167,0.44167301058769226
168,0.9462003111839294
169,0.10970577597618103
170,0.9902915358543396
171,0.6001883149147034
172,0.9724147915840149
173,0.5926666259765625
174,0.9757624268531799
175,0.7248703241348267
176,0.929440438747406
177,0.5234203934669495
178,0.974821150302887
179,0.7279754281044006
180,0.9763104915618896
181,0.7879312038421631
182,0.9722043871879578
183,0.6001883149147034
184,0.9849274158477783
185,0.7799928784370422
186,0.9529258608818054
187,0.837619960308075
188,0.9763104915618896
189,0.45713675022125244
190,0.9324532747268677
191,0.66888028383255
192,0.9742394685745239
193,0.9674102663993835
194,0.9722043871879578
195,0.5195213556289673
196,0.9903663396835327
197,0.854884684085846
198,0.9787126779556274
199,0.6513549089431763
